Year,value
1991,711.4
1992,984.0
1993,777.4
1994,687.1
1995,797.8
1996,853.0
1997,495.4
1998,883.0
1999,754.0
2000,739.7
2001,754.0
2002,754.0
2003,754.0
2004,659.2
2005,766.0
2006,754.0
2007,773.6
2008,649.4
2009,506.8
2010,702.6
2011,1031.0
2012,900.0
2013,818.2
2014,903.0
2015,830.6
2016,932.2
2017,473.4
2018,467.4
