Year,value
1991,1516.2
1992,1736.7
1993,1734.8
1994,1064.6
1995,1498.5
1996,1738.4
1997,882.9
1998,1312.0
1999,1358.7
2000,1312.0
2001,1179.8
2002,964.7
2003,1312.0
2004,1397.2
2005,1248.5
2006,1312.0
2007,1312.0
2008,1312.0
2009,959.7
2010,1585.3
2011,1312.0
2012,1312.0
2013,1312.0
2014,1312.0
2015,1089.5
2016,1352.0
2017,1274.2
2018,968.4
