Year,value
1991,309.5
1992,507.9
1993,396.9
1994,196.7
1995,365.4
1996,303.4
1997,224.4
1998,273.8
1999,302.4
2000,464.0
2001,258.4
2002,225.8
2003,291.0
2004,267.0
2005,303.6
2006,144.3
2007,462.6
2008,289.5
2009,324.0
2010,573.3
2011,489.1
2012,179.4
2013,227.2
2014,293.2
2015,217.8
2016,412.9
2017,374.2
2018,196.7
