Year,value
1991,510.2
1992,776.0
1993,689.6
1994,277.0
1995,524.2
1996,674.6
1997,416.2
1998,467.0
1999,514.8
2000,542.2
2001,402.0
2002,272.4
2003,569.6
2004,409.6
2005,452.4
2006,326.0
2007,452.4
2008,385.8
2009,418.0
2010,1060.4
2011,761.0
2012,460.8
2013,511.4
2014,462.8
2015,357.0
2016,676.8
2017,526.4
2018,389.4
