Year,value
1991,780.6
1992,946.0
1993,622.5
1994,636.2
1995,649.8
1996,663.4
1997,677.1
1998,696.1
1999,630.3
2000,638.3
2001,646.3
2002,654.3
2003,662.3
2004,670.3
2005,678.3
2006,686.3
2007,694.3
2008,702.3
2009,710.3
2010,718.3
2011,726.3
2012,734.3
2013,688.4
2014,642.5
2015,596.6
2016,596.6
2017,646.5120000000002
2018,646.5120000000002
