Year,value
1991,294.4
1992,539.0
1993,372.6
1994,219.0
1995,380.6
1996,387.6
1997,248.6
1998,369.8
1999,342.2
2000,394.6
2001,282.0
2002,175.8
2003,353.4
2004,271.0
2005,299.4
2006,196.4
2007,351.0
2008,245.0
2009,322.5
2010,505.4
2011,421.4
2012,185.4
2013,249.2
2014,310.2
2015,285.2
2016,427.4
2017,360.0
2018,172.4
