Year,value
1991,294.6
1992,434.6
1993,389.1
1994,175.5
1995,274.8
1996,256.6
1997,196.6
1998,187.9
1999,259.3
2000,368.8
2001,175.4
2002,178.0
2003,249.6
2004,174.0
2005,257.8
2006,130.8
2007,259.3
2008,199.4
2009,259.3
2010,591.4
2011,259.3
2012,203.2
2013,208.4
2014,236.9
2015,240.2
2016,345.0
2017,292.2
2018,162.0
