Year,value
1991,842.2
1992,1119.8
1993,1081.1
1994,597.1
1995,1005.2
1996,1114.0
1997,671.4
1998,777.4
1999,844.1
2000,844.1
2001,844.1
2002,641.6
2003,829.7
2004,849.4
2005,945.4
2006,527.8
2007,815.7
2008,656.4
2009,817.8
2010,1250.4
2011,844.1
2012,874.0
2013,889.4
2014,844.1
2015,609.0
2016,844.1
2017,811.6
2018,844.1
