Year,value
1991,526.0
1992,762.8
1993,605.6
1994,336.6
1995,492.0
1996,588.0
1997,535.0
1998,528.1
1999,535.0
2000,535.0
2001,589.6
2002,535.0
2003,535.0
2004,535.0
2005,535.0
2006,327.2
2007,578.8
2008,407.6
2009,535.0
2010,767.3
2011,693.8
2012,535.0
2013,535.0
2014,348.9
2015,442.0
2016,689.4
2017,545.8
2018,446.5
