Year,value
1991,783.0
1992,876.6
1993,860.2
1994,516.6
1995,893.4
1996,806.8
1997,430.0
1998,727.8
1999,613.2
2000,676.2
2001,669.9
2002,492.0
2003,669.9
2004,758.6
2005,665.0
2006,468.8
2007,544.0
2008,669.9
2009,547.0
2010,833.6
2011,669.9
2012,746.4
2013,669.9
2014,510.9
2015,669.9
2016,669.9
2017,647.8
2018,669.9
