Year,value
1991,433.3
1992,568.4
1993,442.6
1994,235.6
1995,447.3
1996,448.0
1997,323.2
1998,327.4
1999,347.8
2000,376.8
2001,347.8
2002,221.6
2003,347.8
2004,309.3
2005,347.8
2006,207.4
2007,347.8
2008,347.8
2009,396.9
2010,347.8
2011,347.8
2012,296.3
2013,424.1
2014,255.9
2015,258.5
2016,347.8
2017,426.4
2018,347.8
