Year,value
1991,634.5
1992,771.2
1993,824.0
1994,614.3
1995,638.0
1996,740.6
1997,426.4
1998,585.2
1999,617.2
2000,741.6
2001,493.4
2002,336.2
2003,611.4
2004,614.3
2005,650.0
2006,614.3
2007,484.2
2008,614.3
2009,614.3
2010,614.3
2011,614.3
2012,614.3
2013,614.3
2014,614.3
2015,334.6
2016,614.3
2017,614.3
2018,469.8
