Year,value
1991,613.8
1992,738.2
1993,570.8
1994,463.2
1995,588.6
1996,580.8
1997,558.3
1998,535.2
1999,558.3
2000,558.3
2001,558.3
2002,417.4
2003,558.3
2004,558.3
2005,486.6
2006,558.3
2007,545.8
2008,492.4
2009,511.4
2010,775.2
2011,684.8
2012,460.0
2013,558.3
2014,423.1
2015,558.3
2016,777.1
2017,672.0
2018,558.3
