Year,value
1991,518.6
1992,672.8
1993,606.0
1994,343.2
1995,698.3
1996,478.2
1997,333.2
1998,504.6
1999,490.7
2000,569.6
2001,451.2
2002,338.2
2003,434.4
2004,470.4
2005,482.4
2006,358.0
2007,390.4
2008,358.4
2009,380.5
2010,805.1
2011,677.8
2012,471.2
2013,500.0
2014,490.7
2015,423.2
2016,520.6
2017,468.8
2018,502.6
