Year,value
1991,288.3
1992,487.7
1993,411.7
1994,193.6
1995,351.0
1996,312.8
1997,284.7
1998,373.6
1999,385.2
2000,364.0
2001,258.6
2002,175.2
2003,391.2
2004,336.0
2005,389.8
2006,189.4
2007,330.8
2008,264.4
2009,275.3
2010,595.8
2011,326.8
2012,284.0
2013,314.2
2014,314.2
2015,234.3
2016,431.3
2017,373.8
2018,213.8
