Year,value
1991,1016.9
1992,1089.6
1993,805.3
1994,862.0
1995,832.1
1996,883.1
1997,604.2
1998,764.0
1999,863.7
2000,952.0
2001,934.6
2002,759.5
2003,759.5
2004,976.1
2005,863.7
2006,863.7
2007,916.2
2008,863.7
2009,863.7
2010,1058.4
2011,834.6
2012,743.6
2013,980.6
2014,741.8
2015,652.8
2016,986.0
2017,920.8
2018,792.0
