Year,value
1991,1100.8
1992,1100.8
1993,1100.8
1994,1100.8
1995,1100.8
1996,1100.8
1997,752.4
1998,1054.1
1999,1081.9
2000,1109.8
2001,1137.6
2002,1165.5
2003,1193.3
2004,1221.2
2005,1249.0
2006,431.6
2007,720.3
2008,1009.0
2009,1297.7
2010,1586.4
2011,1223.4
2012,1115.7
2013,1008.0
2014,1066.6
2015,1125.2
2016,1183.8
2017,1242.4
2018,1242.4
