Year,value
1991,398.6
1992,690.0
1993,508.0
1994,231.8
1995,384.6
1996,359.3
1997,273.1
1998,366.1
1999,477.7
2000,378.4
2001,269.0
2002,175.7
2003,372.0
2004,348.6
2005,429.8
2006,217.0
2007,381.3
2008,305.5
2009,309.5
2010,669.9
2011,493.0
2012,328.4
2013,316.2
2014,345.1
2015,227.4
2016,472.8
2017,388.8
2018,225.2
