Year,value
1991,1062.2
1992,907.8
1993,1031.4
1994,843.6
1995,1002.8
1996,986.0
1997,641.4
1998,841.6
1999,665.2
2000,900.4
2001,856.9
2002,856.9
2003,856.9
2004,856.9
2005,856.9
2006,856.9
2007,856.9
2008,703.5
2009,870.2
2010,856.9
2011,856.9
2012,856.9
2013,1017.6
2014,618.4
2015,517.8
2016,819.0
2017,917.6
2018,744.0
