Year,value
1991,927.0
1992,807.8
1993,897.3
1994,826.4
1995,917.0
1996,810.4
1997,561.6
1998,751.4
1999,587.0
2000,735.0
2001,719.8
2002,571.0
2003,623.8
2004,719.8
2005,719.8
2006,464.0
2007,696.2
2008,525.8
2009,719.8
2010,771.2
2011,947.4
2012,900.0
2013,719.8
2014,637.8
2015,584.2
2016,813.4
2017,700.8
2018,499.4
